ts,event,job_id,cluster,world_size,note,metadata_json
2025-11-16 18:11:10,submitted,job-90d10c6a1129,-,2,,"{""model"": ""DenseNet-121"", ""dataset"": ""TinyImageNet"", ""epochs"": 20, ""batch_size_per_gpu"": 64, ""user_request"": ""Maximize GPU utilization for this run — I’m fine if it uses more energy temporarily.""}"
2025-11-16 18:11:11,started,job-90d10c6a1129,clusterA,2,"started_on=clusterA, g=2, nodes=['node_a', 'node_b'], queued_sec=1.0174624919891357","{""model"": ""DenseNet-121"", ""dataset"": ""TinyImageNet"", ""nodes"": [""node_a"", ""node_b""], ""queued_sec"": 1.0174624919891357, ""started_ts"": 1763284271.3748024}"
2025-11-16 18:14:27,submitted,job-48a759c2f215,-,2,,"{""model"": ""ResNet-50"", ""dataset"": ""CIFAR-10"", ""epochs"": 20, ""batch_size_per_gpu"": 128, ""user_request"": ""Please minimize queue waiting time. Start as soon as a slot is available.""}"
2025-11-16 18:14:27,started,job-48a759c2f215,clusterB,2,"started_on=clusterB, g=2, nodes=['node_e', 'node_f'], queued_sec=0.4102787971496582","{""model"": ""ResNet-50"", ""dataset"": ""CIFAR-10"", ""nodes"": [""node_e"", ""node_f""], ""queued_sec"": 0.4102787971496582, ""started_ts"": 1763284467.630841}"
2025-11-16 18:19:28,submitted,job-09acd5ef0155,-,2,,"{""model"": ""DistilBERT"", ""dataset"": ""SST-2"", ""epochs"": 20, ""batch_size_per_gpu"": 64, ""user_request"": ""This job is for testing only — minimal cost and stable runtime are more important than raw speed.""}"
2025-11-16 18:19:28,started,job-09acd5ef0155,clusterA,2,"started_on=clusterA, g=2, nodes=['node_c', 'node_d'], queued_sec=0.38141322135925293","{""model"": ""DistilBERT"", ""dataset"": ""SST-2"", ""nodes"": [""node_c"", ""node_d""], ""queued_sec"": 0.38141322135925293, ""started_ts"": 1763284768.9901986}"
2025-11-16 18:23:17,submitted,job-0c5ffef33088,-,1,,"{""model"": ""ResNet-18"", ""dataset"": ""CIFAR-100"", ""epochs"": 20, ""batch_size_per_gpu"": 32, ""user_request"": ""Please keep the cost reasonable while still maintaining decent speed.""}"
2025-11-16 18:23:17,submitted,job-90d334a099be,-,2,,"{""model"": ""DenseNet-121"", ""dataset"": ""TinyImageNet"", ""epochs"": 20, ""batch_size_per_gpu"": 64, ""user_request"": ""Maximize GPU utilization for this run — I’m fine if it uses more energy temporarily.""}"
2025-11-16 18:23:18,started,job-0c5ffef33088,clusterB,1,"started_on=clusterB, g=1, nodes=['node_g'], queued_sec=0.9641108512878418","{""model"": ""ResNet-18"", ""dataset"": ""CIFAR-100"", ""nodes"": [""node_g""], ""queued_sec"": 0.9641108512878418, ""started_ts"": 1763284998.25215}"
2025-11-16 18:29:00,submitted,job-03a5945ac85c,-,4,,"{""model"": ""ResNet-50"", ""dataset"": ""CIFAR-10"", ""epochs"": 20, ""batch_size_per_gpu"": 32, ""user_request"": ""Focus on efficiency. Use GPUs effectively but avoid unnecessary power consumption.""}"
2025-11-16 18:32:37,submitted,job-13a6293dd986,-,2,,"{""model"": ""EfficientNetV2-S"", ""dataset"": ""MNIST"", ""epochs"": 20, ""batch_size_per_gpu"": 64, ""user_request"": ""I need this training to finish as fast as possible. Prioritize performance and speed over everything else.""}"
2025-11-16 18:34:03,submitted,job-d2384f450845,-,1,,"{""model"": ""EfficientNetV2-S"", ""dataset"": ""MNIST"", ""epochs"": 20, ""batch_size_per_gpu"": 64, ""user_request"": ""This job is for testing only — minimal cost and stable runtime are more important than raw speed.""}"
2025-11-16 18:35:36,submitted,job-a4c826fc45b1,-,1,,"{""model"": ""ResNet-18"", ""dataset"": ""CIFAR-100"", ""epochs"": 20, ""batch_size_per_gpu"": 128, ""user_request"": ""Focus on efficiency. Use GPUs effectively but avoid unnecessary power consumption.""}"
2025-11-16 18:37:14,finished,job-48a759c2f215,clusterB,2,exit=0,"{""end_ts"": 1763285834.1348596, ""jct_sec"": 1366.5040185451508, ""queued_sec"": 0.4102787971496582}"
2025-11-16 18:37:14,started,job-90d334a099be,clusterB,2,"started_on=clusterB, g=2, nodes=['node_e', 'node_f'], queued_sec=836.4090692996979","{""model"": ""DenseNet-121"", ""dataset"": ""TinyImageNet"", ""nodes"": [""node_e"", ""node_f""], ""queued_sec"": 836.4090692996979, ""started_ts"": 1763285834.2085934}"
2025-11-16 18:44:23,finished,job-0c5ffef33088,clusterB,1,exit=0,"{""end_ts"": 1763286263.6361115, ""jct_sec"": 1265.3839614391327, ""queued_sec"": 0.9641108512878418}"
2025-11-16 18:45:06,submitted,job-42f28c750d3d,-,2,,"{""model"": ""DistilBERT"", ""dataset"": ""SST-2"", ""epochs"": 20, ""batch_size_per_gpu"": 16, ""user_request"": ""Balance between speed and cost. I don’t need the fastest result, just good efficiency overall.""}"
2025-11-16 18:46:39,submitted,job-1d4390183f3a,-,1,,"{""model"": ""DistilBERT"", ""dataset"": ""SST-2"", ""epochs"": 20, ""batch_size_per_gpu"": 16, ""user_request"": ""Please minimize queue waiting time. Start as soon as a slot is available.""}"
2025-11-16 18:47:33,submitted,job-f4d1ecb2fa6f,-,1,,"{""model"": ""DistilBERT"", ""dataset"": ""SST-2"", ""epochs"": 20, ""batch_size_per_gpu"": 16, ""user_request"": ""Balance between speed and cost. I don’t need the fastest result, just good efficiency overall.""}"
2025-11-16 18:58:18,submitted,job-3aee8237f999,-,2,,"{""model"": ""EfficientNetV2-S"", ""dataset"": ""MNIST"", ""epochs"": 20, ""batch_size_per_gpu"": 256, ""user_request"": ""Maximize GPU utilization for this run — I’m fine if it uses more energy temporarily.""}"
2025-11-16 19:04:52,submitted,job-b1ff5ab2bef1,-,4,,"{""model"": ""ResNet-18"", ""dataset"": ""CIFAR-100"", ""epochs"": 20, ""batch_size_per_gpu"": 32, ""user_request"": ""Please minimize queue waiting time. Start as soon as a slot is available.""}"
2025-11-16 19:07:49,submitted,job-a2bcc522b7d3,-,2,,"{""model"": ""DenseNet-121"", ""dataset"": ""TinyImageNet"", ""epochs"": 20, ""batch_size_per_gpu"": 32, ""user_request"": ""Prefer reliability and consistency. I’d rather not have the job preempted or rescheduled.""}"
2025-11-16 19:08:32,submitted,job-053c149ff00c,-,1,,"{""model"": ""EfficientNetV2-S"", ""dataset"": ""MNIST"", ""epochs"": 20, ""batch_size_per_gpu"": 128, ""user_request"": ""Maximize GPU utilization for this run — I’m fine if it uses more energy temporarily.""}"
2025-11-16 19:10:11,finished,job-90d10c6a1129,clusterA,2,exit=0,"{""end_ts"": 1763287811.01943, ""jct_sec"": 3539.644627571106, ""queued_sec"": 1.0174624919891357}"
2025-11-16 19:20:49,submitted,job-6d10e3332e4d,-,4,,"{""model"": ""DeepSpeech2"", ""dataset"": ""ARCTIC"", ""epochs"": 20, ""batch_size_per_gpu"": 8, ""user_request"": ""Prefer reliability and consistency. I’d rather not have the job preempted or rescheduled.""}"
2025-11-16 19:22:27,submitted,job-7794b9edfc11,-,1,,"{""model"": ""DenseNet-121"", ""dataset"": ""TinyImageNet"", ""epochs"": 20, ""batch_size_per_gpu"": 32, ""user_request"": ""Prefer reliability and consistency. I’d rather not have the job preempted or rescheduled.""}"
2025-11-16 19:26:10,finished,job-09acd5ef0155,clusterA,2,exit=0,"{""end_ts"": 1763288770.6410475, ""jct_sec"": 4001.650848865509, ""queued_sec"": 0.38141322135925293}"
