ts,event,job_id,cluster,world_size,note,metadata_json
2026-01-14 17:29:29,submitted,job-143d611a6d1b,-,1,,"{""model"": ""DeepSpeech2"", ""dataset"": ""ARCTIC"", ""epochs"": 20, ""batch_size_per_gpu"": 8, ""user_request"": ""This job is for testing only — minimal cost and stable runtime are more important than raw speed.""}"
2026-01-14 17:29:30,started,job-143d611a6d1b,clusterA,1,"started_on=clusterA, g=1, nodes=['node_a'], queued_sec=0.681056022644043","{""model"": ""DeepSpeech2"", ""dataset"": ""ARCTIC"", ""nodes"": [""node_a""], ""queued_sec"": 0.681056022644043, ""started_ts"": 1768379370.2915444}"
2026-01-14 17:29:40,submitted,job-dcbe716d7c62,-,1,,"{""model"": ""DeepSpeech2"", ""dataset"": ""ARCTIC"", ""epochs"": 20, ""batch_size_per_gpu"": 8, ""user_request"": ""Please keep the cost reasonable while still maintaining decent speed.""}"
2026-01-14 17:29:41,started,job-dcbe716d7c62,clusterB,1,"started_on=clusterB, g=1, nodes=['node_e'], queued_sec=1.0039808750152588","{""model"": ""DeepSpeech2"", ""dataset"": ""ARCTIC"", ""nodes"": [""node_e""], ""queued_sec"": 1.0039808750152588, ""started_ts"": 1768379381.353471}"
2026-01-14 17:32:48,submitted,job-c49d3f525a55,-,2,,"{""model"": ""EfficientNetV2-S"", ""dataset"": ""MNIST"", ""epochs"": 20, ""batch_size_per_gpu"": 64, ""user_request"": ""Focus on efficiency. Use GPUs effectively but avoid unnecessary power consumption.""}"
2026-01-14 17:32:49,started,job-c49d3f525a55,clusterA,2,"started_on=clusterA, g=2, nodes=['node_b', 'node_c'], queued_sec=0.9532876014709473","{""model"": ""EfficientNetV2-S"", ""dataset"": ""MNIST"", ""nodes"": [""node_b"", ""node_c""], ""queued_sec"": 0.9532876014709473, ""started_ts"": 1768379569.616891}"
2026-01-14 17:33:21,submitted,job-2b1af9a714a0,-,2,,"{""model"": ""DistilBERT"", ""dataset"": ""SST-2"", ""epochs"": 20, ""batch_size_per_gpu"": 64, ""user_request"": ""This is a short experiment, so give it quick access to GPUs, even small ones.""}"
2026-01-14 17:33:24,started,job-2b1af9a714a0,clusterB,2,"started_on=clusterB, g=2, nodes=['node_f', 'node_g'], queued_sec=2.69962477684021","{""model"": ""DistilBERT"", ""dataset"": ""SST-2"", ""nodes"": [""node_f"", ""node_g""], ""queued_sec"": 2.69962477684021, ""started_ts"": 1768379604.4279566}"
2026-01-14 17:34:16,submitted,job-ad2885121ba3,-,4,,"{""model"": ""DenseNet-121"", ""dataset"": ""TinyImageNet"", ""epochs"": 20, ""batch_size_per_gpu"": 32, ""user_request"": ""Focus on efficiency. Use GPUs effectively but avoid unnecessary power consumption.""}"
2026-01-14 17:34:43,submitted,job-618232183fb0,-,1,,"{""model"": ""DeepSpeech2"", ""dataset"": ""ARCTIC"", ""epochs"": 20, ""batch_size_per_gpu"": 16, ""user_request"": ""Try to share resources fairly with other users, but don’t delay my job too much.""}"
2026-01-14 17:35:04,finished,job-dcbe716d7c62,clusterB,1,exit=0,"{""end_ts"": 1768379704.9180126, ""jct_sec"": 323.56454157829285, ""queued_sec"": 1.0039808750152588}"
2026-01-14 17:35:31,submitted,job-e3c892a56f99,-,1,,"{""model"": ""ResNet-18"", ""dataset"": ""CIFAR-100"", ""epochs"": 20, ""batch_size_per_gpu"": 128, ""user_request"": ""Prefer reliability and consistency. I’d rather not have the job preempted or rescheduled.""}"
2026-01-14 17:35:42,finished,job-143d611a6d1b,clusterA,1,exit=0,"{""end_ts"": 1768379742.4660118, ""jct_sec"": 372.17446732521057, ""queued_sec"": 0.681056022644043}"
2026-01-14 17:36:48,submitted,job-1a0148f92ce8,-,1,,"{""model"": ""DistilBERT"", ""dataset"": ""SST-2"", ""epochs"": 20, ""batch_size_per_gpu"": 32, ""user_request"": ""Please minimize queue waiting time. Start as soon as a slot is available.""}"
2026-01-14 17:41:02,submitted,job-894e43113c6a,-,4,,"{""model"": ""DeepSpeech2"", ""dataset"": ""ARCTIC"", ""epochs"": 20, ""batch_size_per_gpu"": 32, ""user_request"": ""Maximize GPU utilization for this run — I’m fine if it uses more energy temporarily.""}"
2026-01-14 17:45:02,submitted,job-f7366b47b0d6,-,2,,"{""model"": ""DistilBERT"", ""dataset"": ""SST-2"", ""epochs"": 20, ""batch_size_per_gpu"": 32, ""user_request"": ""I need this training to finish as fast as possible. Prioritize performance and speed over everything else.""}"
